#Last modified 2019/12/13 
##Summary-------------------------------------------------------------------------
# Free Gas Energy
#N=66 a=1/(100 MeV) at=1/(1000 MeV)
#L  exact   bcc3    bcc3_tr     FG
5   1311.9   1293.4   1308.9   1318.5     
6   911.01   906.04   913.62   915.61
7   669.31   667.73   671.84   672.69
8   512.44   511.87   514.27   515.03
9   404.89   404.66   406.16   406.94
10  327.96   327.86   328.85   329.62
11  271.04   271.00   271.67   272.41

## BCC_new1 results
##Nf L Ltinner    EH0                     EM0                   ntot nthr
#66 5   100       0.7961E+03 0.7026E+00   0.7465E+03 0.1060E+01 1850 2720
#66 5   200       0.6159E+03 0.7882E+00   0.5706E+03 0.9193E+00 1740 2720
#66 5   300       0.5412E+03 0.7897E+00   0.4994E+03 0.9382E+00 1630 2720
#66 5   400       0.5089E+03 0.8783E+00   0.4691E+03 0.9910E+00 1540 2720
#66 5   500       0.4929E+03 0.8899E+00   0.4524E+03 0.9902E+00 1460 2720
#66 5   600       0.4856E+03 0.9769E+00   0.4461E+03 0.1166E+01 1390 2720
#
#66 6   100       0.7740E+03 0.7938E+00   0.7253E+03 0.1136E+01 1180 2720
#66 6   200       0.5807E+03 0.1087E+01   0.5389E+03 0.1159E+01 1110 2720
#66 6   300       0.4735E+03 0.9958E+00   0.4354E+03 0.1090E+01 1040 2720
#66 6   400       0.4158E+03 0.2351E+01   0.3806E+03 0.2176E+01 980 2720
#66 6   500       0.3872E+03 0.9806E+00   0.3535E+03 0.1030E+01 930 2720
#66 6   600       0.3696E+03 0.9067E+00   0.3367E+03 0.1010E+01 880 2720
#
#66 7   100       0.7639E+03 0.9032E+00   0.7145E+03 0.1315E+01 860 2720
#66 7   200       0.5705E+03 0.9873E+00   0.5302E+03 0.1260E+01 810 2720
#66 7   300       0.4558E+03 0.1002E+01   0.4199E+03 0.1201E+01 770 2720
#66 7   400       0.3812E+03 0.1801E+01   0.3494E+03 0.1484E+01 723 2688
#66 7   500       0.3400E+03 0.9506E+00   0.3089E+03 0.1086E+01 690 2688
#66 7   600       0.3093E+03 0.1381E+01   0.2808E+03 0.1373E+01 630 1920
#
#66 8   100       0.7512E+03 0.1080E+01   0.7042E+03 0.2054E+01 660 2400
#66 8   200       0.5617E+03 0.1497E+01   0.5210E+03 0.1704E+01 610 2720
#66 8   300       0.4487E+03 0.1604E+01   0.4124E+03 0.1800E+01 583 1920
#66 8   400       0.3746E+03 0.1341E+01   0.3419E+03 0.1597E+01 550 1920
#66 8   500       0.3189E+03 0.1732E+01   0.2892E+03 0.1860E+01 530 1536
#66 8   600       0.2875E+03 0.2068E+01   0.2589E+03 0.2678E+01 503 1248
#
#66 9   100       0.7440E+03 0.1260E+01   0.6967E+03 0.1905E+01 530 2880
#66 9   200       0.5530E+03 0.1556E+01   0.5139E+03 0.2070E+01 503 2200
#66 9   300       0.4406E+03 0.1875E+01   0.4061E+03 0.2435E+01 473 1440
#66 9   400       0.3682E+03 0.1902E+01   0.3376E+03 0.2173E+01 460 1120
#66 9   500       0.3182E+03 0.2349E+01   0.2875E+03 0.2727E+01 433 880
#66 9   600       0.2757E+03 0.2569E+01   0.2492E+03 0.2841E+01 413 720
#
## BCC_new2 results
#66 5   100       0.5222E+03 0.1970E+00   0.4772E+03 0.4382E+00 16920 4080
#66 5   200       0.4986E+03 0.2079E+00   0.4573E+03 0.4460E+00 14070 4080
#66 5   300       0.4944E+03 0.2441E+00   0.4527E+03 0.5212E+00 10810 4080
#66 5   400       0.4936E+03 0.2586E+00   0.4538E+03 0.5363E+00 8500 4080
#66 5   500       0.4929E+03 0.2822E+00   0.4537E+03 0.5702E+00 7290 4080
#66 5   600       0.4936E+03 0.2582E+00   0.4539E+03 0.5552E+00 13560 2720
#
#66 6   100       0.4026E+03 0.2226E+00   0.3633E+03 0.4646E+00 9780 4080
#66 6   200       0.3664E+03 0.2408E+00   0.3321E+03 0.4394E+00 7280 4080
#66 6   300       0.3598E+03 0.2515E+00   0.3264E+03 0.4650E+00 5880 4080
#66 6   400       0.3584E+03 0.2720E+00   0.3259E+03 0.5067E+00 4820 4080
#66 6   500       0.3578E+03 0.2873E+00   0.3262E+03 0.5381E+00 4100 4080
#66 6   600       0.3575E+03 0.3048E+00   0.3254E+03 0.5743E+00 3600 4080
#
#66 7   100       0.3361E+03 0.2397E+00   0.3011E+03 0.4698E+00 6260 4080
#66 7   200       0.2840E+03 0.2591E+00   0.2539E+03 0.4496E+00 4420 4080
#66 7   300       0.2740E+03 0.2731E+00   0.2457E+03 0.4501E+00 3560 4080
#66 7   400       0.2719E+03 0.2721E+00   0.2448E+03 0.4896E+00 3010 4080
#66 7   500       0.2703E+03 0.2962E+00   0.2431E+03 0.5359E+00 2490 4080
#66 7   600       0.2700E+03 0.3455E+00   0.2430E+03 0.5757E+00 2170 4080
#
#66 8   100       0.3128E+03 0.2197E+00   0.2813E+03 0.4137E+00 8400 2720
#66 8   200       0.2341E+03 0.2311E+00   0.2067E+03 0.3945E+00 5970 2720
#66 8   300       0.2189E+03 0.2456E+00   0.1934E+03 0.4136E+00 4560 2720
#66 8   400       0.2143E+03 0.2546E+00   0.1911E+03 0.4251E+00 3820 2720
#66 8   500       0.2127E+03 0.2720E+00   0.1898E+03 0.4599E+00 3190 2720
#66 8   600       0.2118E+03 0.2961E+00   0.1890E+03 0.4859E+00 2840 2688
#
#66 9   100       0.3300E+03 0.2105E+00   0.3017E+03 0.3814E+00 5970 2720
#66 9   200       0.2047E+03 0.2477E+00   0.1800E+03 0.4051E+00 4200 2720
#66 9   300       0.1828E+03 0.2543E+00   0.1603E+03 0.4219E+00 3270 2720
#66 9   400       0.1750E+03 0.2822E+00   0.1539E+03 0.4722E+00 2760 2240
#66 9   500       0.1725E+03 0.3139E+00   0.1518E+03 0.5291E+00 2390 2000
#66 9   600       0.1713E+03 0.5098E+00   0.1505E+03 0.8456E+00 1080 2000
#
#66 10   100       0.3872E+03 0.1936E+00   0.3633E+03 0.3559E+00 4640 2320
#66 10   200       0.1928E+03 0.2718E+00   0.1702E+03 0.4568E+00 3250 2320
#66 10   300       0.1589E+03 0.2758E+00   0.1381E+03 0.4494E+00 2530 2500
#66 10   400       0.1490E+03 0.3181E+00   0.1306E+03 0.5102E+00 2080 2000
#66 10   500       0.1447E+03 0.3080E+00   0.1259E+03 0.5135E+00 1940 2100
#66 10   600       0.1417E+03 0.4353E+00   0.1229E+03 0.6680E+00 1460 1750
#
#66 11   100       0.4127E+03 0.1510E+00   0.3947E+03 0.2945E+00 3370 2320
#66 11   200       0.1964E+03 0.2864E+00   0.1761E+03 0.4685E+00 2410 2304
#66 11   300       0.1460E+03 0.3326E+00   0.1267E+03 0.5402E+00 1870 2000
#66 11   400       0.1305E+03 0.4529E+00   0.1132E+03 0.7466E+00 1080 2000
#66 11   500       0.1240E+03 0.4107E+00   0.1063E+03 0.6812E+00 1350 1600
#66 11   600       0.1215E+03 0.4524E+00   0.1044E+03 0.7404E+00 1160 1600

# BCC_6.1_wave
# There are several variations 
# Ltouter=0 or 5, MR200 or 800
##(L=5) Ltouter=5 ntot=1000 MR=200
#66 5   100 	 0.5064E+03 0.7089E+00 	 0.4688E+03 0.1655E+01 1000 3400  # out_1L5Lt100
