# Free Gas Energy
#N=66 a=1/(100 MeV) at=1/(1000 MeV)
#L    exact     bcc3         bcc3_tr          FG
4  2128.610415  2003.225373  2041.526029   2060.123429
5  1311.854715  1293.376732  1308.888669   1318.478995
6   911.010219   906.042257   913.619722    915.610413
7   669.313630   667.732151   671.835561    672.693365
8   512.443248   511.867441   514.273941    515.030857
9   404.893431   404.659880   406.161781    406.937961
10  327.963679   327.860223   328.845134    329.619749
11  271.044363   270.995064   271.667441    272.413015
12  227.752555   227.727577   228.202113    228.902603 
13  194.061348   194.048015   194.392413    195.041271 
14 167.328408 167.320964 167.576932 168.173341 
15 145.761635 145.757314 145.951501 146.497666 
16 128.110812 128.108216 128.258188 128.757714 
17 113.482242 113.480635 113.598291 114.055276 
18 101.223358 101.222336 101.315930 101.734490 
19 90.848664 90.847999 90.923381 91.307410 
20 81.990920 81.990477 82.051869 82.404937 
21 74.368181 74.367880 74.418383 74.743707 
22 67.761091 67.760883 67.802807 68.103254 
23 61.996915 61.996769 62.031861 62.309971 
24 56.938139 56.938035 56.967631 57.225651 
25 52.474189 52.474113 52.499250 52.739160 
26 48.515337 48.515282 48.536768 48.760318 
27 44.988159 44.988118 45.006592 45.215329 
28 41.832102 41.832071 41.848044 42.043335 
29 38.996870 38.996847 39.010727 39.193787 
30 36.440409 36.440391 36.452511 36.624417 
31 34.127334 34.127320 34.137950 34.299662 
32 32.027703 32.027692 32.037054 32.189429 
33 30.116040 30.116032 30.124309 30.268113 
34 28.370560 28.370554 28.377899 28.513819 
35 26.772545 26.772540 26.779081 26.907735 
36 25.305839 25.305835 25.311679 25.433623 
37 23.956441 23.956438 23.961675 24.077410 
38 22.712166 22.712163 22.716871 22.826852 
39 21.562372 21.562370 21.566612 21.671252 
40 20.497730 20.497728 20.501562 20.601234 
41 19.510034 19.510033 19.513506 19.608551 
42 18.592045 18.592044 18.595198 18.685927 
43 17.737354 17.737353 17.740224 17.826920 
44 16.940273 16.940272 16.942890 17.025813 
45 16.195737 16.195737 16.198130 16.277518 
46 15.499229 15.499228 15.501420 15.577493 
47 14.846703 14.846703 14.848714 14.921673 
48 14.234535 14.234534 14.236383 14.306413 
49 13.659462 13.659461 13.661164 13.728436 
50 13.118547 13.118547 13.120117 13.184790 
